APPL_NO,FORM,STRDADDRESS,BLOCK,LOT,UNITS,NETUNITS,AFF_HSG,AFF_TARGET,CNG_TYPE,EXISTUSE,PROPUSE,ACTDATE,ZONING,PD_NO,SD_NO
200604038097,3,3043 CLAY ST,1005,025,3,1,SEC,SEC,A,2 FAMILY DWELLING,APARTMENTS,,RH-3,2,2
201003188461,3,638 08TH AV,1637,028,2,1,SEC,SEC,L,1 FAMILY DWELLING,2 FAMILY DWELLING,,RH-2,1,1
201009221404,3,3162 TURK BL,1141,016,2,1,SEC,SEC,L,1 FAMILY DWELLING,2 FAMILY DWELLING,,RH-2,1,1
201101279152,8,557 15TH AV,1558,013B,2,1,SEC,SEC,A,1 FAMILY DWELLING,2 FAMILY DWELLING,,RH-2,1,1
200902262930,3,167 16TH AV,1376,014,2,1,SEC,SEC,A,1 FAMILY DWELLING,2 FAMILY DWELLING,,RH-2,1,1
200709284059,3,633 27TH AV,1570,003A,2,1,SEC,SEC,A,1 FAMILY DWELLING,2 FAMILY DWELLING,,RH-2,1,1
201006225027,3,720 YORK ST,4080,021,36,1,SEC,SEC,CH,OFFICE,ARTIST LIVE/WORK,,UMU,8,6
200808149207,3,665 25TH AV,1568,008B,2,1,SEC,SEC,A,1 FAMILY DWELLING,2 FAMILY DWELLING,,RH-2,1,1
200605222180,3,762 27TH AV,1618,007,2,1,SEC,SEC,A,1 FAMILY DWELLING,2 FAMILY DWELLING,,RH-2,1,1
200907031975,8,1624 BAY ST,0460A,007,2,1,SEC,SEC,A,1 FAMILY DWELLING,2 FAMILY DWELLING,,RM-3,2,2
200807187057,3,3436 ANZA ST,1519,022B,2,1,SEC,SEC,A,1 FAMILY DWELLING,2 FAMILY DWELLING,,RM-1,1,1
200612119580,3,2400 BALBOA ST,1568,011D,2,1,SEC,SEC,A,1 FAMILY DWELLING,2 FAMILY DWELLING,,RH-2,1,1
201004231007,3,19 CAPP ST,3553,047A,2,1,SEC,SEC,A,1 FAMILY DWELLING,2 FAMILY DWELLING,,RTO-Mission,8,6
