STDADDRESS,PRJ_NAME,BLOCK,LOT,UNITS,NETUNITS,AFF_HSG,AFF_TARGET,CNG_TYPE,EXISTUSE,PROPUSE,ACTDATE, Zoning,PD_NO,SD_NO,PLANAREA
315 MORAGA ST,,2040,1,2,2,,,New Construction,,2 FAMILY DWELLING,1/8/2013,RH-1,10,10,Bayview
335 OAK ST,,839,25,8,2,,,Expansion,APARTMENTS,APARTMENTS,5/15/2013,NCD-POLK STREET,3,3,
339 OAK ST,,839,25,8,2,,,Expansion,APARTMENTS,APARTMENTS,8/1/2013,RH-1,15,4,
1022 RHODE ISLAND ST,,4158,2,2,1,1,SEC,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,10/18/2013,RH-3,2,2,
1122 PAGE ST,,1219,8,4,1,,,Expansion,APARTMENTS,APARTMENTS,10/28/2013,RH-3,2,2,
118 BRODERICK ST,,1237,23,2,1,1,SEC,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,2/6/2013,RH-1,12,11,
1267 BAY ST,,473,,3,1,,,Expansion,2 FAMILY DWELLING,APARTMENTS,11/19/2013,NC-1,7,8,
134 ORD ST,,2657,4,1,1,,,New Construction,,1 FAMILY DWELLING,5/3/2013,RH-2,7,8,
1370 35TH AV,,1789,22,2,1,1,SEC,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,6/14/2013,RH-1,12,10,Visitacion Valley
1391 08TH AV,,1763,,18,1,,,Expansion,APARTMENTS,APARTMENTS,9/16/2013,RH-2 ,1,1,
14 COSTA ST,,5557,8,1,1,,,New Construction,,1 FAMILY DWELLING,2/11/2013,RH-2,10,10,Bayview
1443 CHURCH ST,,6566,,2,1,,,Expansion,2 FAMILY DWELLING,2 FAMILY DWELLING,3/21/2013,NC-1,7,8,
152 ELSIE ST,,5618,20,1,1,,,New Construction,,1 FAMILY DWELLING,9/20/2013,RH-2,10,10,Bayview
1536 FRANCISCO ST,,471,,3,1,1,SEC,Expansion,2 FAMILY DWELLING,APARTMENTS,10/8/2013,RH-2,10,10,Bayview
157 APOLLO ST,,5405,23,1,1,,,New Construction,,1 FAMILY DWELLING,7/22/2013,RH-1,7,8,
1650 CHESTNUT ST,,482,14,2,1,,,Expansion,2 FAMILY DWELLING,2 FAMILY DWELLING,3/21/2013,RTO,8,8,Market/Octavia
1671 CHURCH ST,,6618,23,2,1,,,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,1/4/2013,RM-3,5,5,A-2
169 DELTA ST,,6202,46,1,1,,,New Construction,,1 FAMILY DWELLING,8/30/2013,NCT-3,6,8,Market/Octavia
1719 PALOU AV,,5328,53,2,1,1,SEC,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,3/28/2013,RH-2,13,11,
1721 CHURCH ST,,6633,20,1,1,1,SEC,Conversion,STORAGE SHED,1 FAMILY DWELLING,11/13/2013,NCT-Mission,8,9,Eastern Neighborhoods
1765 QUESADA AV,,5338,56,2,1,,,Expansion,2 FAMILY DWELLING,2 FAMILY DWELLING,3/13/2013,RH-1,15,4,
1786 MCKINNON AV,,5297,23,2,1,1,SEC,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,10/11/2013,NC-1,3,3,
188 BROAD ST,,7107,23,2,1,,,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,7/1/2013,RH-2,2,2,
2082 PINE ST,,651,10,3,1,1,SEC,Expansion,2 FAMILY DWELLING,APARTMENTS,4/10/2013,RH-1,10,10,Bayview
