STDADDRESS,PRJ_NAME,BLOCK,LOT,UNITS,NETUNITS,AFF_HSG,AFF_TARGET,ADD_TYPE,EXISTUSE,PROPUSE,ACTDATE,ZONING,PD_NO,SD_NO,PLANAREA
154 MIRALOMA DR,,3011,47,1,1,,,,,1 FAMILY DWELLING,29-May-12,RH-1(D),14,7,
668 PLYMOUTH AV,,7067,14,1,1,,not subject,,,1 FAMILY DWELLING,06-Mar-12,RH-1,13,11,
678 PLYMOUTH AV,,7067,14,1,1,,not subject,,,1 FAMILY DWELLING,07-Mar-12,RH-1,13,11,
688 PLYMOUTH AV,,7067,14,1,1,,not subject,,,1 FAMILY DWELLING,07-Mar-12,RH-1,13,11,
698 PLYMOUTH AV,,7067,14,1,1,,not subject,,,1 FAMILY DWELLING,07-Mar-12,RH-1,13,11,
2912 21ST AV,,7204,,1,1,,,,,1 FAMILY DWELLING,29-Oct-12,RH-1(D),13,7,
1625 48TH AV,,1895,6,1,1,,,,,1 FAMILY DWELLING,18-May-12,RH-2,15,4,
425 BRYANT ST,,3775,95,1,1,,,,WORKSHOP COMMERCIAL,1 FAMILY DWELLING,10-Oct-12,MUO,9,6,East SoMa
206 CLINTON PK,,3534,5,1,1,,,,PRKNG GARAGE/PRIVATE,1 FAMILY DWELLING,08-Feb-12,RTO,8,8,Market Octavia
249 CHERRY ST,,991,5,1,1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,16-Nov-12,RH-1,1,2,
283 12TH AV,,1421,12,1,1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,23-Jul-12,INNER CLEMENT,1,1,
631 OFARRELL ST,,0322A,122,185,-1,,,Merger,APARTMENTS,APARTMENTS,04-May-12,RC-4,4,6,
1450 POST ST,,688,53,109,-1,,,Merger,APARTMENTS,APARTMENTS,27-Nov-12,RM-4,5,5,
650 02ND ST,,3788,59,24,-1,,,Merger,APARTMENTS,APARTMENTS,09-Nov-12,MUO,9,6,East SoMa
309 05TH AV,,1437,2,5,-1,,,Merger,APARTMENTS,APARTMENTS,12-Oct-12,RM-1,1,1,
1027 HAYES ST,,823,14,3,-1,,,Merger,APARTMENTS,APARTMENTS,19-Jun-12,RH-3,5,5,
2405 WASHINGTON ST,,612,32,2,-1,,,Merger,APARTMENTS,2 FAMILY DWELLING,22-Feb-12,RH-2,2,2,
336 PARNASSUS AV,,1275,15,2,-1,,,Merger,APARTMENTS,2 FAMILY DWELLING,20-Mar-12,RH-3,14,5,
1087 FRANCISCO ST,,477,,1,-1,,,Merger,2 FAMILY DWELLING,1 FAMILY DWELLING,06-Aug-12,RH-2,5,2,
341 MISSISSIPPI ST,,4039,14,1,-1,,,Admin,2 FAMILY DWELLING,1 FAMILY DWELLING,05-Jul-12,RH-2,9,10,Showplace Sq
1089 FRANCISCO ST,,477,,1,-1,,,Merger,2 FAMILY DWELLING,1 FAMILY DWELLING,07-Aug-12,RH-2,5,2,
5499 CALIFORNIA ST,,1417,31,1,-1,,,Merger,2 FAMILY DWELLING,1 FAMILY DWELLING,18-Sep-12,NC-1,1,1,
2037 JEFFERSON ST,,915,,1,-1,,,Merger,2 FAMILY DWELLING,1 FAMILY DWELLING,19-Oct-12,RH-2,2,2,
3014 CALIFORNIA ST,,1023,10,1,-1,,,Merger,2 FAMILY DWELLING,1 FAMILY DWELLING,13-Nov-12,RH-2,2,2,
464 VIENNA ST,,6077,18,1,-1,,,Illegal Removed,1 FAMILY DWELLING,1 FAMILY DWELLING,19-Oct-12,RH-1,12,11,
1606 VALLEJO ST,,551,6,1,-1,,,Merger,2 FAMILY DWELLING,1 FAMILY DWELLING,11-Jan-12,RH-3,2,2,
1606 VALLEJO ST,,551,6,1,-1,,,Merger,2 FAMILY DWELLING,1 FAMILY DWELLING,11-Jan-12,RH-3,2,2,
