STDADDRESS,PRJ_NAME,BLOCK,LOT,UNITS,NETUNITS,AFF_HSG,AFF_TARGET,CNG_TYPE,EXISTUSE,PROPUSE,ACTDATE, Zoning,PD_NO,SD_NO,PLANAREA,LAT_LNG,ZIP_CODE,ZILLOW_ID,RENT_ESTIMATE,HOUSE_SIZE
1340 NATOMA ST,,3548,65,3,3,,,New Construction,,APARTMENTS,8/28/2013,RH-1,11,9,,"[37.7676706, -122.4187104]",94103,15143132,5500,3665
1456 CHESTNUT ST,,480,,3,3,,,New Construction,,APARTMENTS,3/29/2013,RH-1,11,9,,"[37.802233, -122.427363]",94123,119684857,8000,1551
210 17TH AV,,1417,31,3,3,,,New Construction,,APARTMENTS,2/7/2013,C-3-G,4,6,Mid-Market,"[37.7840447, -122.4764189]",94121,124397784,6700,1971
547 GROVE ST,,807,22,3,3,,,New Construction,,APARTMENTS,1/31/2013,RH-1,13,11,,"[37.7774934, -122.4256321]",94102,15078371,9020,4317
995 SUTTER ST,,300,12,3,3,,,Expansion,,APARTMENTS,4/24/2013,RH-2,7,8,,"[37.78814029999999, -122.4166185]",94109,,,
999 SUTTER ST,,300,12,3,3,,,New Construction,,APARTMENTS,5/1/2013,RH-3,2,2,,"[37.7880317, -122.416661]",94109,,,
1001 CALIFORNIA ST,,254,80,14,2,,,Conversion,FOOD/BEVERAGE HNDLNG,APARTMENTS,1/8/2013,RH-3,2,2,,"[37.7916283, -122.4110601]",94108,2104403242,5000,893
1654 CHESTNUT ST,,482,14,2,2,,,New Construction,,2 FAMILY DWELLING,3/29/2013,NCD-POLK STREET,3,3,,"[37.8015531, -122.4306058]",94123,,,
2135 GREENWICH ST,,516,,2,2,,,New Construction,,2 FAMILY DWELLING,3/21/2013,RH-1,13,7,,"[37.798826, -122.434803]",94123,121337529,12000,5146
2239 TARAVAL ST,,2393,42,2,2,,,Conversion,RETAIL SALES,2 FAMILY DWELLING,10/23/2013,RH-1,15,4,,"[37.7421724, -122.4902982]",94116,,,
226 CABRILLO ST,,1641,26,2,2,,,New Construction,,1 FAMILY DWELLING,3/8/2013,RH-1,13,11,,"[37.775749, -122.46126]",94118,15098473,8650,3186
230 LILY ST,,839,25,8,2,,,Expansion,APARTMENTS,APARTMENTS,5/15/2013,RH-1,11,9,,"[37.7743262, -122.4248052]",94102,,,
236 LILY ST,,839,25,8,2,,,Expansion,APARTMENTS,APARTMENTS,8/1/2013,RH-2,10,10,Bayview,"[37.774332, -122.4248192]",94102,2112696528,,1608
309 MORAGA ST,,2040,1,2,2,,,New Construction,,,1/8/2013,RH-3,2,2,,"[37.7564237, -122.4660643]",94122,121339134,6500,1847
