APPL_NO,FORM,STRDADDRESS,BLOCK,LOT,UNITS,NETUNITS,AFF_HSG,AFF_TARGET,CNG_TYPE,EXISTUSE,PROPUSE,ACTDATE,ZONING,PD_NO,SD_NO,LAT_LNG,ZIP_CODE,ZILLOW_ID,RENT_ESTIMATE,HOUSE_SIZE
200812299248,1,829 CORBETT AV,2778,016,4,4,,,N,,APARTMENTS,,RM-1,7,8,"[37.753366, -122.443062]",94131,116155732,6500,2352
201110036004,8,960 HARRISON ST,3753,021,4,4,,,AC,OFFICE,APARTMENTS,,MUR,9,6,"[37.7781189, -122.403403]",94107,2140824383,,1800
200402247019,3,2900 FULTON ST,1648,017,4,4,,,New,OFFICE,APARTMENTS,,NC-1,1,1,"[37.774001, -122.462894]",94118,2139609432,6300,3138
201008319983,8,1000 MASON ST,0223,008,51,3,,,A,APARTMENTS,APARTMENTS,,RM-4,3,3,"[37.7930742, -122.4107104]",94108,,,
200703277415,2,1011 TENNESSEE ST,4108,003G,3,3,,,N,,APARTMENTS,,UMU,9,10,"[37.75911000000001, -122.38905]",94107,114316075,5400,1430
200703095864,2,2603 HYDE ST,0026,006,3,3,,,N,,APARTMENTS,,RH-3,3,2,"[37.8049684, -122.4204446]",94109,,,
200902232592,2,259 DORLAND ST,3580,035,3,3,,,N,,APARTMENTS,,RM-1,7,8,"[37.7619914, -122.4297325]",94114,115828549,6500,2105
200508220869,2,3448 BALBOA ST,1578,014F,3,3,,,N,,APARTMENTS,,NC-2,1,1,"[37.7757905, -122.4959684]",94121,2126009017,,1501
201107119914,8,261 DORLAND ST,3580,035,3,3,,,A,,APARTMENTS,,RM-1,7,8,"[37.7619661, -122.4297655]",94114,116156211,6500,2298
200603156751,3,590 CASTRO ST,2695,016,4,2,,,CH,2 FAMILY DWELLING,APARTMENTS,,CASTRO,7,8,"[37.75942879999999, -122.4349841]",94114,2099307461,,1200
201101067940,8,700 VERMONT ST,4075,001,3,2,,,A,1 FAMILY DWELLING,APARTMENTS,,RH-2,9,10,"[37.7606963, -122.4044042]",94107,15149967,7980,3668
200907243426,3,1844 TURK ST,1129,011A,3,2,,,A,1 FAMILY DWELLING,APARTMENTS,,RM-3,5,5,"[37.779832, -122.439589]",94115,15084389,8700,3936
201012297565,3,1729 STOCKTON ST,0089,007,3,2,,,A,APARTMENTS,APARTMENTS,,NO BEACH,3,3,"[37.801766, -122.409765]",94133,15065224,9020,4936
200812017531,2,1530 YORK ST,5514,004,2,2,,,N,,2 FAMILY DWELLING,,RH-2,11,9,"[37.747741, -122.407764]",94110,114314075,5500,1561
200201096579,2,3207 SAN BRUNO AV,5473,017,2,2,,,N,,2 FAMILY DWELLING,,RM-1,12,10,"[37.7215155, -122.400957]",94134,15159560,4000,
200201096589,2,3217 SAN BRUNO AV,5473,018,2,2,,,N,,2 FAMILY DWELLING,,RM-1,12,10,"[37.72141920000001, -122.400873]",94134,119685090,4899,4030
200201096581,2,3229 SAN BRUNO AV,5473,019,2,2,,,N,,2 FAMILY DWELLING,,RM-1,12,10,"[37.7212626, -122.4007323]",94134,119684818,4500,3951
200201096587,2,3237 SAN BRUNO AV,5473,020,2,2,,,N,,2 FAMILY DWELLING,,RM-1,12,10,"[37.7211702, -122.400736]",94134,119684706,4950,3880
200705010117,2,1030 MISSISSIPPI ST,4224,017,2,2,,,N,,2 FAMILY DWELLING,,RH-3,9,10,"[37.7533469, -122.393949]",94107,116156555,7500,2026
200910280084,2,580 DIAMOND ST,2772,016,2,2,,,N,,2 FAMILY DWELLING,,RH-2,7,8,"[37.753093, -122.43683]",94114,116156884,8650,2165
200707187166,2,324 CORTLAND AV,5677,022,2,2,,,N,,2 FAMILY DWELLING,,NC-2,12,9,"[37.7390297, -122.4180064]",94110,114314083,4500,1056
200804180093,2,317 CORTLAND AV,5667,015,2,2,,,N,,2 FAMILY DWELLING,,NC-2,11,9,"[37.739372, -122.4180937]",94110,2128539940,5950,
200805162250,2,457 BUENA VISTA EAST AV,2607,270,2,2,,,N,,2 FAMILY DWELLING,,RH-3,6,8,"[37.7658111, -122.4418962]",94117,111931948,10500,2580
200512200776,2,519 33RD AV,1511,002,2,2,,,N,,2 FAMILY DWELLING,,RH-2,1,1,"[37.779209, -122.493602]",94121,15093555,6000,2650
200310097072,2,1200 19TH ST,4038,009,2,2,,,N,,2 FAMILY DWELLING,,RH-2,9,10,"[37.761634, -122.394673]",94107,15149539,9020,4404
201001194971,3,340 KEARNY ST,0269,008,2,2,,,CH,RETAIL SALES,2 FAMILY DWELLING,,C-3-O,4,3,"[37.7913393, -122.4039507]",94108,,,
200912283901,3,134 CLEMENT ST,1431,022,2,2,,,CH,OFFICE,2 FAMILY DWELLING,,INNER CLEMENT,1,1,"[37.7832961, -122.4608327]",94118,2126596721,4400,600
200806053752,6,412 NOE ST,3582,089,-2,-2,,,D,2 FAMILY DWELLING,,,RH-3,7,8,"[37.7623204, -122.4330771]",94114,116156005,5200,1261
201103091771,8,3669 18TH ST,3587,049,5,1,,,A,APARTMENTS,APARTMENTS,,RM-2,8,8,"[37.7613023, -122.4253368]",94110,,,
200810204565,3,3665 18TH ST,3587,049,5,1,,,L,APARTMENTS,APARTMENTS,,RM-2,8,8,"[37.7613864, -122.4253505]",94110,,,
200706113545,2,155 TERRACE DR,3076,050,1,1,,,N,,1 FAMILY DWELLING,,RH-1(D),13,7,"[37.736658, -122.463727]",94127,95270640,21639,5717
200504049074,2,791 SAN BRUNO AV,4075,017,1,1,,,N,,1 FAMILY DWELLING,,RH-2,9,10,"[37.759645, -122.404673]",94107,15149979,9833,3746
200812108239,2,219 PRENTISS ST,5654,021,1,1,,,N,,1 FAMILY DWELLING,,RH-1,11,9,"[37.7398646, -122.4119729]",94110,15162078,6040,1650
201006235114,2,424 OCTAVIA ST,0817,033,1,1,,,N,,FOOD/BEVERAGE HNDLNG,,HAYES NCT,5,5,"[37.7761054, -122.4241271]",94102,,,
200905228971,2,192 NEY ST,5891,001,1,1,,,N,,1 FAMILY DWELLING,,RH-1,12,11,"[37.7299511, -122.4262133]",94112,119685550,4700,3333
200809091088,2,347 MULLEN AV,5534,038,1,1,,,N,,1 FAMILY DWELLING,,RH-1,11,9,"[37.746124, -122.4058722]",94110,119685357,11771,2828
200601242864,2,239 MINERVA ST,7092,070,1,1,,,N,,1 FAMILY DWELLING,,RH-1,13,11,"[37.715496, -122.460277]",94112,111922538,4250,2882
200608250538,2,1506 INNES AV,5259,033,1,1,,,N,,1 FAMILY DWELLING,,RH-1,10,10,"[37.7385999, -122.387081]",94124,121337390,4250,1000
