APPL_NO,FORM,STRDADDRESS,BLOCK,LOT,UNITS,NETUNITS,AFF_HSG,AFF_TARGET,CNG_TYPE,EXISTUSE,PROPUSE,ACTDATE,ZONING,PD_NO,SD_NO,LAT_LNG,ZIP_CODE,ZILLOW_ID,RENT_ESTIMATE,HOUSE_SIZE
201105206444,8,669 SHRADER ST,1249,021,1,-1,,,L,2 FAMILY DWELLING,1 FAMILY DWELLING,,RH-3,6,5,"[37.7687661, -122.4519168]",94117,15086981,5500,1300
201101258990,8,51 SEVILLE ST,6443,032,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-1,12,11,"[37.711735, -122.434613]",94112,15178043,4500,2243
201008168870,8,154 SEARS ST,7145,042,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-1,12,11,"[37.709182, -122.454937]",94112,15195639,4300,2040
201011024173,8,77 SALA TR,7044C,002,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-1,12,11,"[37.714313, -122.446065]",94112,15191793,4000,1577
201009281777,8,180 PEABODY ST,6305,016,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-1,12,10,"[37.709983, -122.407873]",94134,15175374,3900,1050
201010213545,8,2539 ORTEGA ST,2102,035,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-1,15,4,"[37.751516, -122.490964]",94122,15114330,4500,1200
201104214511,8,825 OCEAN AV,6947,001B,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-2,13,11,"[37.722699, -122.450263]",94112,15188111,4500,1722
201110257536,8,64 MONETA WY,7096B,004,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-1,12,11,"[37.713146, -122.44976]",94112,15194001,4500,1579
201104113804,8,48 MAJESTIC AV,7049,011,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-1,13,11,"[37.717839, -122.451511]",94112,15192037,3950,962
201104043393,8,714 MADRID ST,6343,004,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-1,12,11,"[37.718351, -122.435617]",94112,15176290,4250,1182
201004029574,8,1067 INGERSON AV,4969,036,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-1,10,10,"[37.719605, -122.394428]",94124,15154825,4250,2267
201103071558,8,61 INA CT,6003,011,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-1,12,11,"[37.723149, -122.424846]",94112,15169017,3950,1025
201006073953,8,1855 GENEVA AV,6327,016,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-1,12,10,"[37.709694, -122.423506]",94134,15175953,3800,961
201106248862,8,179 CRESTMONT DR,2675,046,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-1(D),14,7,"[37.755503, -122.45966]",94131,15128822,5395,1630
200907213093,8,275 CHATTANOOGA ST,3649,018,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-2,7,8,"[37.7521864, -122.4263622]",94114,,,
201006073939,8,72 BROAD ST,7108,023,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-2,13,11,"[37.71347799999999, -122.455308]",94112,15194575,4300,1978
201011175159,8,56 BITTING AV,5428C,011,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,M-1,10,10,"[37.7270523, -122.398341]",94124,15159064,4389,1626
201011295715,8,2242 46TH AV,2304,011,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-1,15,4,"[37.744692, -122.504497]",94116,15118547,4500,2440
201007297742,8,1574 45TH AV,1890,022,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-1,15,4,"[37.757238, -122.5043]",94122,15107827,4000,1323
201102049715,8,1642 44TH AV,1900,034,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-1,15,4,"[37.7559759, -122.503136]",94122,15108332,5900,3055
201102049671,8,2778 40TH AV,2508,019A,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-1,15,4,"[37.7350319, -122.497369]",94116,15126042,4195,1024
201106137937,8,1355 37TH AV,1792,004,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-1,15,4,"[37.761662, -122.496669]",94122,15103702,4250,1180
201006255307,8,1491 19TH AV,1834,013,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-2,15,4,"[37.760036, -122.477167]",94122,15105511,4500,1536
